hour,average
00,49.890166150194304
01,50.104502486742874
02,49.684109944163495
03,50.234153348302655
04,49.79671085584499
05,49.699859658502355
06,50.02955914476738
07,50.00238854026364
08,49.96871347925143
09,50.08147744534718
10,49.98530577202432
11,50.07960841285012
12,50.17184555882437
13,49.97840295164039
14,49.97676084361317
15,49.89125029088138
16,49.93468327799865
17,50.19432676244565
18,50.13488287212126
19,49.9334190655188
20,50.06929060257088
21,49.966532841911146
22,49.708828787076335
23,49.984655927792474
